dictionary,hiragana,meaning,type,transitivity,te,past,negative,negativePast,polite,potential,passive,causative,causativePassive,conditional,imperative,volitional,prohibitive,lesson
宿泊,しゅくはくする,住宿，投宿,不规则动词,自动词,宿泊して,宿泊した,宿泊しない,宿泊しなかった,宿泊します,宿泊できる,宿泊される,宿泊させる,宿泊させられる,宿泊すれば,宿泊しろ,宿泊しよう,宿泊するな,210
楽しむ,たのしむ,享受，享乐，以...为乐,五段动词,他动词,楽しんで,楽しんだ,楽しまない,楽しまなかった,楽しみます,楽しめる,楽しまれる,楽しませる,楽しませられる,楽しめば,楽しめ,楽しもう,楽しむな,210
流す,ながす,使液体流动；播放；传播；使失败；使流出,五段动词,他动词,流して,流した,流さない,流さなかった,流します,流せる,流される,流させる,流させられる,流せば,流せ,流そう,流すな,210
いやす,いやす,治愈，治疗,五段动词,他动词,いやして,いやした,いやさない,いやさなかった,いやします,いやせる,いやされる,いやさせる,いやさせられる,いやせば,いやせ,いやそう,いやすな,210
予防,よぼうする,预防，防止,不规则动词,他动词,予防して,予防した,予防しない,予防しなかった,予防します,予防できる,予防される,予防させる,予防させられる,予防すれば,予防しろ,予防しよう,予防するな,210
立て直す,たてなおす,重建，重振，重新建立,五段动词,他动词,立て直して,立て直した,立て直さない,立て直さなかった,立て直します,立て直せる,立て直される,立て直させる,立て直させられる,立て直せば,立て直せ,立て直そう,立て直すな,210
維持,いじする,维持，保持,不规则动词,他动词,維持して,維持した,維持しない,維持しなかった,維持します,維持できる,維持される,維持させる,維持させられる,維持すれば,維持しろ,維持しよう,維持するな,210
公開,こうかいする,公开，开放，使公众知晓,不规则动词动词,他动词,公開して,公開した,公開しない,公開しなかった,公開します,公開できる,公開される,公開させる,公開させられる,公開すれば,公開しろ / 公開せよ,公開しよう,公開するな,211
主演,しゅえんする,主演，担任主角,不规则动词,他動詞,主演して,主演した,主演しない,主演しなかった,主演します,主演できる,主演される,主演させる,主演させられる,主演すれば,主演しろ,主演しよう,主演するな,211
評価,ひょうかする,评价，评估,不规则动词,他动词,評価して,評価した,評価しない,評価しなかった,評価します,評価できる,評価される,評価させる,評価させられる,評価すれば,評価しろ,評価しよう,評価するな,211
高まる,たかまる,高涨，提高，增强,五段动词,自动词,高まって,高まった,高まらない,高まらなかった,高まります,高まれる,高まられる,高まらせる,高まらせられる,高まれば,高まれ,高まろう,高まるな,211
区別,くべつする,区分，区别,不规则动词,他動詞,区別して,区別した,区別しない,区別しなかった,区別します,区別できる,区別される,区別させる,区別させられる,区別すれば,区別しろ,区別しよう,区別するな,211
受け入れる,うけいれる,接受，接纳，承认,一段动词,他动词,受け入れて,受け入れた,受け入れない,受け入れなかった,受け入れます,受け入れられる,受け入れられる,受け入れさせる,受け入れさせられる,受け入れれば,受け入れろ / 受け入れよ,受け入れよう,受け入れるな,211
提供,ていきょうする,提供，供给,不规则动词,他动词,提供して,提供した,提供しない,提供しなかった,提供します,提供できる,提供される,提供させる,提供させられる,提供すれば,提供しろ,提供しよう,提供するな,211
抜く,ぬく,拔出，抽出；省略，去掉；超过，胜过,五段动词,他动词,抜いて,抜いた,抜かない,抜かなかった,抜きます,抜ける,抜かれる,抜かせる,抜かせられる,抜けば,抜け,抜こう,抜くな,211
ヒットする,ヒットする,击中，命中；成功，受欢迎,不规则动词,他動詞,ヒットして,ヒットした,ヒットしない,ヒットしなかった,ヒットします,ヒットできる,ヒットされる,ヒットさせる,ヒットさせられる,ヒットすれば,ヒットしろ,ヒットしよう,ヒットするな,211
高める,たかめる,提高，提升,一段动词,他动词,高めて,高めた,高めない,高めなかった,高めます,高められる,高められる,高めさせる,高めさせられる,高めれば,高めろ,高めよう,高めるな,211
広まる,ひろまる,传播，扩散，普及,五段动词,自动词,広まって,広まった,広まらない,広まらなかった,広まります,広まれる,広まられる,広まらせる,広まらせられる,広まれば,広まれ,広まろう,広まるな,211
広める,ひろめる,推广，普及，扩大,一段动词,他动词,広めて,広めた,広めない,広めなかった,広めます,広められる,広められる,広めさせる,広めさせられる,広めれば,広めろ,広めよう,広めるな,211
強まる,つよまる,变强，增强，加强,五段动词,自动词,強まって,強まった,強まらない,強まらなかった,強まります,強まれる,強まられる,強まらせる,強まらせられる,強まれば,強まれ,強まろう,強まるな,211
強める,つよめる,加强，增强，强化,一段动词,他动词,強めて,強めた,強めない,強めなかった,強めます,強められる,強められる,強めさせる,強めさせられる,強めれば,強めろ / 強めよ,強めよう,強めるな,211
弱まる,よわまる,变弱，减弱,五段动词,自动词,弱まって,弱まった,弱まらない,弱まらなかった,弱まります,弱まれる,弱まられる,弱まらせる,弱まらせられる,弱まれば,弱まれ,弱まろう,弱まるな,211
弱める,よわめる,使变弱，减弱，削弱,一段动词,他动词,弱めて,弱めた,弱めない,弱めなかった,弱めます,弱められる,弱められる,弱めさせる,弱めさせられる,弱めれば,弱めろ,弱めよう,弱めるな,211
深まる,ふかまる,变深，加深，深化,五段动词,自动词,深まって,深まった,深まらない,深まらなかった,深まります,深まれる,深まられる,深まらせる,深まらせられる,深まれば,深まれ,深まろう,深まるな,211
薄める,うすめる,稀释，冲淡,一段动词,他动词,薄めて,薄めた,薄めない,薄めなかった,薄めます,薄められる,薄められる,薄めさせる,薄めさせられる,薄めれば,薄めろ,薄めよう,薄めるな,211
とおす,とおす,通过，穿过；渗透；坚持到底；让...通过；批准,五段动词,他动词,とおして,とおした,とおさない,とおさなかった,とおします,とおせる,とおされる,とおさせる,とおさせられる,とおせば,とおせ,とおそう,とおすな,211
低下,ていかする,降低，下降,不规则动词,他動詞,低下して,低下した,低下しない,低下しなかった,低下します,低下できる,低下される,低下させる,低下させられる,低下すれば,低下しろ,低下しよう,低下するな,211
売り切れる,うりきれる,售罄，卖完,一段动词,自动词,売り切れて,売り切れた,売り切れない,売り切れなかった,売り切れます,売り切れられる,売り切れられる,売り切れさせる,売り切れさせられる,売り切れれば,売り切れろ,売り切れよう,売り切れるな,211
退職,たいしょくする,退休，离职,不规则动词动词,自动词,退職して,退職した,退職しない,退職しなかった,退職します,退職できる,退職される,退職させる,退職させられる,退職すれば,退職しろ / 退職せよ,退職しよう,退職するな,211
関,かんする,相关，关于，涉及,不规则动词动词,自动词,関して,関した,関しない,関しなかった,関します,関できる,関される,関させる,関させられる,関すれば,関しろ / 関せよ,関しよう,関するな,211
生み出す,うみだす,产生，创造出,五段动词,他动词,生み出して,生み出した,生み出さない,生み出さなかった,生み出します,生み出せる,生み出される,生み出させる,生み出させられる,生み出せば,生み出せ,生み出そう,生み出すな,211
獲得,かくとくする,获得，取得，获取,不规则动词,他动词,獲得して,獲得した,獲得しない,獲得しなかった,獲得します,獲得できる,獲得される,獲得させる,獲得させられる,獲得すれば,獲得しろ / 獲得せよ,獲得しよう,獲得するな,211
登場,とうじょうする,登场，出现，上场,不规则动词,自动词,登場して,登場した,登場しない,登場しなかった,登場します,登場できる,登場される,登場させる,登場させられる,登場すれば,登場しろ/登場せよ,登場しよう,登場するな,211
追いかける,おいかける,追赶，追逐,一段动词,他动词,追いかけて,追いかけた,追いかけない,追いかけなかった,追いかけます,追いかけられる,追いかけられる,追いかけさせる,追いかけさせられる,追いかければ,追いかけろ / 追いかけよ,追いかけよう,追いかけるな,211
向ける,むける,转向，朝向；派遣；用于，用作,一段动词,他动词,向けて,向けた,向けない,向けなかった,向けます,向けられる,向けられる,向けさせる,向けさせられる,向ければ,向けろ,向けよう,向けるな,211
向く,むく,朝向，面对，适合,五段动词,自动词,向いて,向いた,向かない,向かなかった,向きます,向ける,向かれる,向かせる,向かせられる,向けば,向け,向こう,向くな,211
裏切る,うらぎる,背叛，出卖,五段动词,他动词,裏切って,裏切った,裏切らない,裏切らなかった,裏切ります,裏切れる,裏切られる,裏切らせる,裏切らせられる,裏切れば,裏切れ,裏切ろう,裏切るな,211
見かける,みかける,偶然看到，瞥见,一段动词,他动词,見かけて,見かけた,見かけない,見かけなかった,見かけます,見かけられる,見かけられる,見かけさせる,見かけさせられる,見かければ,見かけろ,見かけよう,見かけるな,211
上げる,あげる,举起；提高；给与；完成,一段动词,他动词,上げて,上げた,上げない,上げなかった,上げます,上げられる,上げられる,上げさせる,上げさせられる,上げれば,上げろ,上げよう,上げるな,211
配布,はいふする,分发，散发,不规则动词,他动词,配布して,配布した,配布しない,配布しなかった,配布します,配布できる,配布される,配布させる,配布させられる,配布すれば,配布しろ,配布しよう,配布するな,211
生存,せいぞんする,生存，活着，存在,不规则动词,自动词,生存して,生存した,生存しない,生存しなかった,生存します,生存できる,生存される,生存させる,生存させられる,生存すれば,生存しろ,生存しよう,生存するな,211
同行,どうこうする,同行，一起前往,不规则动词,自动词,同行して,同行した,同行しない,同行しなかった,同行します,同行できる,同行される,同行させる,同行させられる,同行すれば,同行しろ / 同行せよ,同行しよう,同行するな,212
作成,さくせいする,制作，作成，制定,不规则动词,他動詞,作成して,作成した,作成しない,作成しなかった,作成します,作成できる,作成される,作成させる,作成させられる,作成すれば,作成しろ,作成しよう,作成するな,212
披露,ひろうする,披露，公布，展示,不规则动词,他動詞,披露して,披露した,披露しない,披露しなかった,披露します,披露できる,披露される,披露させる,披露させられる,披露すれば,披露しろ,披露しよう,披露するな,212
変更,へんこうする,改变，变更，修改,不规则动词,他动词,変更して,変更した,変更しない,変更しなかった,変更します,変更できる,変更される,変更させる,変更させられる,変更すれば,変更しろ,変更しよう,変更するな,212
断る,ことわる,拒绝，谢绝,五段动词,他动词,断って,断った,断らない,断らなかった,断ります,断れる,断られる,断らせる,断らせられる,断れば,断れ,断ろう,断るな,212
不足する,ふそくする,不足，不够，缺乏,不规则动词,自动词,不足して,不足した,不足しない,不足しなかった,不足します,不足できる,不足される,不足させる,不足させられる,不足すれば,不足しろ/不足せよ,不足しよう,不足するな,212
異なる,ことなる,不同，有差异,五段动词,自动词,異なって,異なった,異ならない,異ならなかった,異なります,異なれる,異なられる,異ならせる,異ならせられる,異なれば,異なれ,異なろう,異なるな,212
投げる,なげる,投，扔，抛,一段动词,他动词,投げて,投げた,投げない,投げなかった,投げます,投げられる,投げられる,投げさせる,投げさせられる,投げれば,投げろ,投げよう,投げるな,212
解釈,かいしゃくする,解释，说明，理解,不规则动词,他动词,解釈して,解釈した,解釈しない,解釈しなかった,解釈します,解釈できる,解釈される,解釈させる,解釈させられる,解釈すれば,解釈しろ / 解釈せよ,解釈しよう,解釈するな,212
投げ返す,なげかえす,扔回，投回,五段动词,他动词,投げ返して,投げ返した,投げ返さない,投げ返さなかった,投げ返します,投げ返せる,投げ返される,投げ返させる,投げ返させられる,投げ返せば,投げ返せ,投げ返そう,投げ返すな,212
保管,ほかんする,保管，保存，管理,不规则动词,他動詞,保管して,保管した,保管しない,保管しなかった,保管します,保管できる,保管される,保管させる,保管させられる,保管すれば,保管しろ / 保管せよ,保管しよう,保管するな,212
聞き間違える,ききまちがえる,听错，误听,一段动词,他动词,聞き間違えて,聞き間違えた,聞き間違えない,聞き間違えなかった,聞き間違えます,聞き間違えられる,聞き間違えられる,聞き間違えさせる,聞き間違えさせられる,聞き間違えれば,聞き間違えろ,聞き間違えよう,聞き間違えるな,212
浸透,しんとうする,渗透，浸透,不规则动词,自动词,浸透して,浸透した,浸透しない,浸透しなかった,浸透します,浸透できる,浸透される,浸透させる,浸透させられる,浸透すれば,浸透しろ,浸透しよう,浸透するな,212
独立,どくりつする,独立，自立,不规则动词,自动词,独立して,独立した,独立しない,独立しなかった,独立します,独立できる,独立される,独立させる,独立させられる,独立すれば,独立しろ/独立せよ,独立しよう,独立するな,212
述べる,のべる,陈述，叙述，说明,一段动词,他动词,述べて,述べた,述べない,述べなかった,述べます,述べられる,述べられる,述べさせる,述べさせられる,述べれば,述べろ,述べよう,述べるな,212
後悔,こうかいする,后悔，懊悔,不规则动词,他动词,後悔して,後悔した,後悔しない,後悔しなかった,後悔します,後悔できる,後悔される,後悔させる,後悔させられる,後悔すれば,後悔しろ,後悔しよう,後悔するな,212
書き間違える,かきまちがえる,写错，误写,一段动词,他动词,書き間違えて,書き間違えた,書き間違えない,書き間違えなかった,書き間違えます,書き間違えられる,書き間違えられる,書き間違えさせる,書き間違えさせられる,書き間違えれば,書き間違えろ,書き間違えよう,書き間違えるな,212
言い間違える,いいまちがえる,说错，误说,一段动词,他动词,言い間違えて,言い間違えた,言い間違えない,言い間違えなかった,言い間違えます,言い間違えられる,言い間違えられる,言い間違えさせる,言い間違えさせられる,言い間違えれば,言い間違えろ,言い間違えよう,言い間違えるな,212
言い返す,いいかえす,反驳，顶嘴,五段动词,他动词,言い返して,言い返した,言い返さない,言い返さなかった,言い返します,言い返せる,言い返される,言い返させる,言い返させられる,言い返せば,言い返せ,言い返そう,言い返すな,212
聞き返す,ききかえす,重新问，反问,五段动词,他动词,聞き返して,聞き返した,聞き返さない,聞き返さなかった,聞き返します,聞き返せる,聞き返される,聞き返させる,聞き返させられる,聞き返せば,聞き返せ,聞き返そう,聞き返すな,212
思い返す,おもいかえす,重新考虑，反思，回想,五段动词,他动词,思い返して,思い返した,思い返さない,思い返さなかった,思い返します,思い返せる,思い返される,思い返させる,思い返させられる,思い返せば,思い返せ,思い返そう,思い返すな,212
登録,とうろくする,登记，注册,不规则动词,他动词,登録して,登録した,登録しない,登録しなかった,登録します,登録できる,登録される,登録させる,登録させられる,登録すれば,登録しろ,登録しよう,登録するな,212
支払う,しはらう,支付，付款,五段动词,他动词,支払って,支払った,支払わない,支払わなかった,支払います,支払える,支払われる,支払わせる,支払わせられる,支払えば,支払え,支払おう,支払うな,212
取り消す,とりけす,取消，撤销，废除,五段动词,他动词,取り消して,取り消した,取り消さない,取り消さなかった,取り消します,取り消せる,取り消される,取り消させる,取り消させられる,取り消せば,取り消せ,取り消そう,取り消すな,212
待ち合わせる,まちあわせる,约定见面，会合,一段动词,他动词,待ち合わせて,待ち合わせた,待ち合わせない,待ち合わせなかった,待ち合わせます,待ち合わせられる,待ち合わせられる,待ち合わせさせる,待ち合わせさせられる,待ち合わせれば,待ち合わせろ,待ち合わせよう,待ち合わせるな,212
改まる,あらたまる,改变，更新；变得正式，变得郑重,五段动词,自动词,改まって,改まった,改まらない,改まらなかった,改まります,改まれる,改まられる,改まらせる,改まらせられる,改まれば,改まれ,改まろう,改まるな,213
引き受ける,ひきうける,承担，接受，负责,一段动词,他动词,引き受けて,引き受けた,引き受けない,引き受けなかった,引き受けます,引き受けられる,引き受けられる,引き受けさせる,引き受けさせられる,引き受ければ,引き受けろ / 引き受けよ,引き受けよう,引き受けるな,213
出会う,であう,,,,,,,,,,,,,,,,,213
酔う,よう,喝醉，陶醉，晕（车船等）,五段动词,自动词,酔って,酔った,酔わない,酔わなかった,酔います,酔える,酔われる,酔わせる,酔わせられる,酔えば,酔え,酔おう,酔うな,213
伝言,でんごんする,留言，传话,不规则动词,他动词,伝言して,伝言した,伝言しない,伝言しなかった,伝言します,伝言できる,伝言される,伝言させる,伝言させられる,伝言すれば,伝言しろ,伝言しよう,伝言するな,213
出版,しゅっぱんする,出版，发行,不规则动词动词,他动词,出版して,出版した,出版しない,出版しなかった,出版します,出版できる,出版される,出版させる,出版させられる,出版すれば,出版しろ / 出版せよ,出版しよう,出版するな,213
減少,げんしょうする,减少，降低,不规则动词,自动词,減少して,減少した,減少しない,減少しなかった,減少します,減少できる,減少される,減少させる,減少させられる,減少すれば,減少しろ,減少しよう,減少するな,213
対する,たいする,对待，针对，面对,不规则动词,自动词,対して,対した,対しない,対しなかった,対します,対できる,対される,対させる,対させられる,対すれば,対しろ／対せよ,対しよう,対するな,213
控える,ひかえる,控制，抑制；等候；记录,一段动词,他动词,控えて,控えた,控えない,控えなかった,控えます,控えられる,控えられる,控えさせる,控えさせられる,控えれば,控えろ / 控えよ,控えよう,控えるな,213
つながる,つながる,连接，相连；有关系；通信畅通,五段动词,自动词,つながって,つながった,つながらない,つながらなかった,つながります,つながれる,つながられる,つながらせる,つながらせられる,つながれば,つながれ,つながろう,つながるな,213
たどる,たどる,沿着，追寻，探索,五段动词,他动词,たどって,たどった,たどらない,たどらなかった,たどります,たどれる,たどられる,たどらせる,たどらせられる,たどれば,たどれ,たどろう,たどるな,213
改善,かいぜんする,改善，改进,不规则动词,他動詞,改善して,改善した,改善しない,改善しなかった,改善します,改善できる,改善される,改善させる,改善させられる,改善すれば,改善しろ,改善しよう,改善するな,213
伸ばす,のばす,伸展，拉长，延长，发挥,五段动词,他动词,伸ばして,伸ばした,伸ばさない,伸ばさなかった,伸ばします,伸ばせる,伸ばされる,伸ばさせる,伸ばさせられる,伸ばせば,伸ばせ,伸ばそう,伸ばすな,213
訴える,うったえる,起诉，控告；诉诸，依靠；倾诉，诉说,一段动词,他动词,訴えて,訴えた,訴えない,訴えなかった,訴えます,訴えられる,訴えられる,訴えさせる,訴えさせられる,訴えれば,訴えろ / 訴えよ,訴えよう,訴えるな,213
援助,えんじょする,援助，帮助，支援,不规则动词,他动词,援助して,援助した,援助しない,援助しなかった,援助します,援助できる,援助される,援助させる,援助させられる,援助すれば,援助しろ / 援助せよ,援助しよう,援助するな,213
勤める,つとめる,工作，任职,一段动词,自动词,勤めて,勤めた,勤めない,勤めなかった,勤めます,勤められる,勤められる,勤めさせる,勤めさせられる,勤めれば,勤めろ,勤めよう,勤めるな,214
問う,とう,问，询问；追究,五段动词,他动词,問うて,問うた,問わない,問わなかった,問います,問える,問われる,問わせる,問わせられる,問えば,問え,問おう,問うな,214
選択,せんたくする,选择，挑选,不规则动词,他动词,選択して,選択した,選択しない,選択しなかった,選択します,選択できる,選択される,選択させる,選択させられる,選択すれば,選択しろ,選択しよう,選択するな,214
焦る,あせる,着急，焦急，急躁,五段动词,自动词,焦って,焦った,焦らない,焦らなかった,焦ります,焦れる,焦られる,焦らせる,焦らせられる,焦れば,焦れ,焦ろう,焦るな,214
上京,じょうきょうする,去东京，上京,不规则动词,自动词,上京して,上京した,上京しない,上京しなかった,上京します,上京できる,上京される,上京させる,上京させられる,上京すれば,上京しろ / 上京せよ,上京しよう,上京するな,214
隠れる,かくれる,隐藏，躲藏,一段动词,自动词,隠れて,隠れた,隠れない,隠れなかった,隠れます,隠れられる,隠れられる,隠れさせる,隠れさせられる,隠れれば,隠れろ,隠れよう,隠れるな,214
温まる,あたたまる,变暖，暖和,五段动词,自动词,温まって,温まった,温まらない,温まらなかった,温まります,温まれる,温まられる,温まらせる,温まらせられる,温まれば,温まれ,温まろう,温まるな,215
おごる,おごる,请客；奢侈；傲慢,五段动词,他动词,おごって,おごった,おごらない,おごらなかった,おごります,おごれる,おごられる,おごらせる,おごらせられる,おごれば,おごれ,おごろう,おごるな,215
書き直す,かきなおす,重写，改写,五段动词,他动词,書き直して,書き直した,書き直さない,書き直さなかった,書き直します,書き直せる,書き直される,書き直させる,書き直させられる,書き直せば,書き直せ,書き直そう,書き直すな,215
調理,ちょうりする,烹饪，烹调,不规则动词,他动词,調理して,調理した,調理しない,調理しなかった,調理します,調理できる,調理される,調理させる,調理させられる,調理すれば,調理しろ / 調理せよ,調理しよう,調理するな,215
載せる,のせる,放置，装载，刊登,一段动词,他动词,載せて,載せた,載せない,載せなかった,載せます,載せられる,載せられる,載せさせる,載せさせられる,載せれば,載せろ,載せよう,載せるな,215
着席,ちゃくせきする,就座，坐下,不规则动词,自动词,着席して,着席した,着席しない,着席しなかった,着席します,着席できる,着席される,着席させる,着席させられる,着席すれば,着席しろ,着席しよう,着席するな,215
逮捕,たいほする,逮捕，捉拿,不规则动词,他動詞,逮捕して,逮捕した,逮捕しない,逮捕しなかった,逮捕します,逮捕できる,逮捕される,逮捕させる,逮捕させられる,逮捕すれば,逮捕しろ,逮捕しよう,逮捕するな,215
使用,しようする,使用，利用,不规则动词,他動詞,使用して,使用した,使用しない,使用しなかった,使用します,使用できる,使用される,使用させる,使用させられる,使用すれば,使用しろ,使用しよう,使用するな,215
診断,しんだんする,诊断,不规则动词,他动词,診断して,診断した,診断しない,診断しなかった,診断します,診断できる,診断される,診断させる,診断させられる,診断すれば,診断しろ,診断しよう,診断するな,215
隠す,かくす,隐藏，隐瞒,五段动词,他动词,隠して,隠した,隠さない,隠さなかった,隠します,隠せる,隠される,隠させる,隠させられる,隠せば,隠せ,隠そう,隠すな,215
起こる,おこる,发生，产生，引起,五段动词,自动词,起こって,起こった,起こらない,起こらなかった,起こります,起これる,起こられる,起こらせる,起こらせられる,起これば,起これ,起ころう,起こるな,215
祈る,いのる,祈祷，祈求,五段动词,他动词,祈って,祈った,祈らない,祈らなかった,祈ります,祈れる,祈られる,祈らせる,祈らせられる,祈れば,祈れ,祈ろう,祈るな,216
切れる,きれる,断开，切断；锋利；用尽；到期；精明,一段动词,自动词,切れて,切れた,切れない,切れなかった,切れます,切れられる,切れられる,切れさせる,切れさせられる,切れれば,切れろ,切れよう,切れるな,216
別れる,わかれる,分开，分离，分手，离别,一段动词,自动词,別れて,別れた,別れない,別れなかった,別れます,別れられる,別れられる,別れさせる,別れさせられる,別れれば,別れろ,別れよう,別れるな,216
招く,まねく,邀请；招待；招致；引起,五段动词,他动词,招いて,招いた,招かない,招かなかった,招きます,招ける,招かれる,招かせる,招かせられる,招けば,招け,招こう,招くな,216
助け合う,たすけあう,互相帮助,五段动词,自动词,助け合って,助け合った,助け合わない,助け合わなかった,助け合います,助け合える,助け合われる,助け合わせる,助け合わせられる,助け合えば,助け合え,助け合おう,助け合うな,216
暖める,あたためる,加热，使温暖,一段动词,他动词,暖めて,暖めた,暖めない,暖めなかった,暖めます,暖められる,暖められる,暖めさせる,暖めさせられる,暖めれば,暖めろ,暖めよう,暖めるな,216
限る,かぎる,限定，限制，局限于,五段动词,他动词,限って,限った,限らない,限らなかった,限ります,限れる,限られる,限らせる,限らせられる,限れば,限れ,限ろう,限るな,216
挙式,きょしきする,举行婚礼，举办仪式,不规则动词,他动词,挙式して,挙式した,挙式しない,挙式しなかった,挙式します,挙式できる,挙式される,挙式させる,挙式させられる,挙式すれば,挙式しろ / 挙式せよ,挙式しよう,挙式するな,216
占める,しめる,占据，占有，占领,一段动词,他动词,占めて,占めた,占めない,占めなかった,占めます,占められる,占められる,占めさせる,占めさせられる,占めれば,占めろ,占めよう,占めるな,216
務める,つとめる,担任，担当；工作，服务,一段动词,他动词,務めて,務めた,務めない,務めなかった,務めます,務められる,務められる,務めさせる,務めさせられる,務めれば,務めろ / 務めよ,務めよう,務めるな,216
移動,いどうする,移动，转移,不规则动词,自动词/他动词,移動して,移動した,移動しない,移動しなかった,移動します,移動できる,移動される,移動させる,移動させられる,移動すれば,移動しろ/移動せよ,移動しよう,移動するな,216
支持,しじする,支持，支援，支撑,不规则动词,他动词,支持して,支持した,支持しない,支持しなかった,支持します,支持できる,支持される,支持させる,支持させられる,支持すれば,支持しろ,支持しよう,支持するな,216
好む,このむ,喜欢,五段动词,他动词,好んで,好んだ,好まない,好まなかった,好みます,好める,好まれる,好ませる,好ませられる,好めば,好め,好もう,好むな,216
売り込む,うりこむ,推销，兜售，强行推销,五段动词,他动词,売り込んで,売り込んだ,売り込まない,売り込まなかった,売り込みます,売り込める,売り込まれる,売り込ませる,売り込ませられる,売り込めば,売り込め,売り込もう,売り込むな,217
試飲,しいんする,品尝，试饮,不规则动词,他动词,試飲して,試飲した,試飲しない,試飲しなかった,試飲します,試飲できる,試飲される,試飲させる,試飲させられる,試飲すれば,試飲しろ / 試飲せよ,試飲しよう,試飲するな,217
飛び込む,とびこむ,跳入，跳进；闯入，冲入；投身于,五段动词,自动词,飛び込んで,飛び込んだ,飛び込まない,飛び込まなかった,飛び込みます,飛び込める,飛び込まれる,飛び込ませる,飛び込ませられる,飛び込めば,飛び込め,飛び込もう,飛び込むな,217
放る,ほうる,扔，抛；放弃，置之不理,五段动词,他动词,放って,放った,放らない,放らなかった,放ります,放れる,放られる,放らせる,放らせられる,放れば,放れ,放ろう,放るな,217
投げ込む,なげこむ,扔进，投入,五段动词,他动词,投げ込んで,投げ込んだ,投げ込まない,投げ込まなかった,投げ込みます,投げ込める,投げ込まれる,投げ込ませる,投げ込ませられる,投げ込めば,投げ込め,投げ込もう,投げ込むな,217
放り込む,ほうりこむ,扔进，投进,五段动词,他动词,放り込んで,放り込んだ,放り込まない,放り込まなかった,放り込みます,放り込める,放り込まれる,放り込ませる,放り込ませられる,放り込めば,放り込め,放り込もう,放り込むな,217
持ち込む,もちこむ,带入，拿进；提出（问题等）,五段动词,他动词,持ち込んで,持ち込んだ,持ち込まない,持ち込まなかった,持ち込みます,持ち込める,持ち込まれる,持ち込ませる,持ち込ませられる,持ち込めば,持ち込め,持ち込もう,持ち込むな,217
流れ込む,ながれこむ,流入，流进,五段动词,自动词,流れ込んで,流れ込んだ,流れ込まない,流れ込まなかった,流れ込みます,流れ込める,流れ込まれる,流れ込ませる,流れ込ませられる,流れ込めば,流れ込め,流れ込もう,流れ込むな,217
潜り込む,もぐりこむ,潜入，钻入，混入,五段动词,自动词,潜り込んで,潜り込んだ,潜り込まない,潜り込まなかった,潜り込みます,潜り込める,潜り込まれる,潜り込ませる,潜り込ませられる,潜り込めば,潜り込め,潜り込もう,潜り込むな,217
落ち込む,おちこむ,情绪低落，消沉，沮丧,五段动词,自动词,落ち込んで,落ち込んだ,落ち込まない,落ち込まなかった,落ち込みます,落ち込める,落ち込まれる,落ち込ませる,落ち込ませられる,落ち込めば,落ち込め,落ち込もう,落ち込むな,217
見直す,みなおす,重新审视，重新考虑，重新评价,五段动词,他动词,見直して,見直した,見直さない,見直さなかった,見直します,見直せる,見直される,見直させる,見直させられる,見直せば,見直せ,見直そう,見直すな,217
存在,そんざいする,存在，有,不规则动词,自動詞,存在して,存在した,存在しない,存在しなかった,存在します,存在できる,存在される,存在させる,存在させられる,存在すれば,存在しろ,存在しよう,存在するな,217
遡る,さかのぼる,追溯，回溯，逆流而上,五段动词,自动词,遡って,遡った,遡らない,遡らなかった,遡ります,遡れる,遡られる,遡らせる,遡らせられる,遡れば,遡れ,遡ろう,遡るな,217
取り囲む,とりかこむ,包围，围住,五段动词,他动词,取り囲んで,取り囲んだ,取り囲まない,取り囲まなかった,取り囲みます,取り囲める,取り囲まれる,取り囲ませる,取り囲ませられる,取り囲めば,取り囲め,取り囲もう,取り囲むな,217
研ぐ,とぐ,磨快，磨光，淘洗,五段动词,他动词,研いで,研いだ,研がない,研がなかった,研ぎます,研げる,研がれる,研がせる,研がせられる,研げば,研げ,研ごう,研ぐな,217
改造,かいぞうする,改造，改建，改装,不规则动词,他動詞,改造して,改造した,改造しない,改造しなかった,改造します,改造できる,改造される,改造させる,改造させられる,改造すれば,改造しろ / 改造せよ,改造しよう,改造するな,217
つなぐ,つなぐ,连接，系，绑,五段动词,他动词,つないで,つないだ,つながない,つながなかった,つなぎます,つなげる,つながれる,つながせる,つながせられる,つなげば,つなげ,つなごう,つなぐな,217
指定,していする,指定，规定，确定,不规则动词,他动词,指定して,指定した,指定しない,指定しなかった,指定します,指定できる,指定される,指定させる,指定させられる,指定すれば,指定しろ,指定しよう,指定するな,217
保存,ほぞんする,保存,不规则动词,他動詞,保存して,保存した,保存しない,保存しなかった,保存します,保存できる,保存される,保存させる,保存させられる,保存すれば,保存しろ,保存しよう,保存するな,217
混在,こんざいする,混合存在，混杂在一起,不规则动词动词,自动词,混在して,混在した,混在しない,混在しなかった,混在します,混在できる,混在される,混在させる,混在させられる,混在すれば,混在しろ,混在しよう,混在するな,217
見上げる,みあげる,向上看，仰望；尊敬，钦佩,一段动词,他动词,見上げて,見上げた,見上げない,見上げなかった,見上げます,見上げられる,見上げられる,見上げさせる,見上げさせられる,見上げれば,見上げろ / 見上げよ,見上げよう,見上げるな,217
